id	program_id	week_id	week	stp_title	stp_stepno	stp_videoid	stp_video_length	stp_select_activity	status
2	1	0	0	INNER DNA TEST	1			1	1
4	1	0	0	SAFAR KI SHURUAAT	2	742591360	09:33	0	1
5	1	0	0	INNER DNA TEST KO BEHTAR SE SAMJHE	3	742590583	41:28	0	1
6	1	0	0	ACTIVITY	4			17	1
7	1	1	1	CLIENT KA INTRODUCTION	1	742591179	07:49	17	1
8	1	1	1	WHEEL OF LIFE (ACTIVITY)	2	742591084	04:13	3	1
9	1	1	1	WHEEL OF LIFE (AAPKA STHITI KA WHEEL OF LIFE KE SATH CONNECTION)	3	742590363	15:41	17	1
10	1	1	1	WHEEL OF LIFE (DEBRIEF)	4	742590214	08:40	17	1
11	1	1	1	INTRODUCTION TO DISCOVER YOUR INNER DNA	5	742589943	25:56	17	1
12	1	1	1	DISCOVER YOUR INNER DNA	6	742589795	09:17	17	1
14	1	1	1	THE SPEECH (ACTIVITY)	7	742589411	18:40	17	1
15	1	1	1	THE SPEECH (DEBRIEF)	8	742589621	10:29	17	1
16	1	1	1	DISCOVER YOUR BASELINES (ACTIVITY)	9			0	1
17	1	1	1	DISCOVER YOUR BASELINES (DEBRIEF)	10	742589294	08:32	17	1
18	1	1	1	BASELINES EXPRESSION & NON- EXPRESSION ACTIVITY INSTRUCTIONS	11	742589243	01:31	0	1
19	1	1	1	BASELINE EXPRESSION (ACTIVITY & DEBRIEF)	12	742588924	20:24	17	1
20	1	1	1	BASELINE NON - EXPRESSION (ACTIVITY & DEBRIEF)	13	742588725	12:17	17	1
21	1	1	1	THE CHANGE (ACTIVITY)	14	742589176	05:42	0	1
22	1	1	1	THE CHANGE (DEBRIEF & CONCLUSION)	15	742588628	07:49	17	1
23	1	2	2	RECAP	1	742588524	04:19	0	1
24	1	2	2	AAP KA NAZARIYA,AUR USKE NATIJE	2	742588358	09:06	17	1
25	1	2	2	INTRODUCTION TO INTEGRATED POWER CODING	3	742588117	15:27	17	1
26	1	2	2	ZINDAGi KE AHEM PAL (DEFINING MOMENTS)	4	742587875	22:43	17	1
27	1	3	3	PICHHLE HAFTO KA RECAP	1	742587048	03:05	0	1
28	1	3	3	OUTCOMES KYA HOTE HAI	2	742586216	11:36	17	1
29	1	3	3	MERE APNE OUTCOMES	3	742586025	13:30	17	1
30	1	3	3	MERE APNE OUTCOMES (DEBRIEF)	4	742585767	15:07	17	1
31	1	3	3	APNE OUTCOMES KO DEFINE KARE (ACTIVITY & DEBRIEF)	5	742585543	16:10	12	1
32	1	3	3	INCRED OUTCOMES	6	742584741	22:11	17	1
33	1	3	3	INCRED OUTCOMES (ACTIVITY)	7	742585143	17:51	17	1
34	1	3	3	INCRED OUTCOMES (DEBRIEF)	8	742585943	06:24	0	1
36	1	3	3	POWER LEAPS	9	742585329	19:00	17	1
37	1	3	3	POWER LEAPS (ACTIVITY)	10	742584458	21:51	17	1
38	1	3	3	CONCLUSION	11	742585018	08:58	0	1
39	1	4	4	UNLEASH YOU & Aapke faisle	1	742583860	11:58	17	1
40	1	4	4	MERE PAST MEIN KIYE GAYE FAISLE AUR UNKE ANJAM.	2	742583650	14:04	0	1
42	1	4	4	DECISION MAKING WHEEL (DEBRIEF)	4	742584189	13:17	17	1
43	1	4	4	AAIYE,EK FAISLA KARE (ACTIVITY )	5	742583229	16:13	17	1
44	1	4	4	BUZZ MOMENTS KYA HOTE HAI?	6	742582974	14:02	17	1
45	1	4	4	BUZZ MOMENTS (ACTIVITY)	7	742593202	26:08	0	1
46	1	4	4	AAPKA MASTERMIND,AUR AAP KA MAHAUL	8	742582365	20:42	17	1
47	1	4	4	APNA MASTERMIND CHUNE (ACTIVITY)	9	742583502	07:34	0	1
48	1	4	4	APNA MASTERMIND CHUNE (DEBRIEF)	10	742593632	20:14	17	1
49	1	4	4	SUMMARY	11	742582850	05:37	0	1
50	1	5	5	RECAP	1	742593057	06:09	0	1
51	1	5	5	AAPKE IMAGINATION KI TAKAT SE BANNE WALA CRAZY DREAMS	2	742592140	28:37	17	1
52	1	4	4	DECISION MAKING WHEEL (ACTIVITY)	3	742584056	08:27	11	1
53	1	5	5	CRAZY DREAMS (DEBRIEF)AUR AAPKA VISION BOARD	4	742591831	23:47	17	1
54	1	5	5	VISION BOARD (DEBRIEF )	5	742592517	11:24	17	1
55	1	5	5	AAPKA KHUD KA SUCCESS BLUEPRINT	6	742591547	21:01	17	1
56	1	5	5	AAPKE INCREDIBLE SAFAR KI SHURUAAT	7	742592761	07:15	0	1
58	1	6	6	The Incredible You 10 week Coaching Hub	2			24	1
59	1	7	7	THE INCREDIBLE YOU FOUNDATION PROGRAM IN HINDI REGISTRATION LINK	1			19	1
60	10	0	0	Aap kaun hai?	1			2	1
61	10	0	0	Aap coach kaise ban sakte hai?	2	742278560	07:34	0	1
62	10	0	0	Meri traning kab shuru hogi?	3			21	1
63	10	1	1	Ek coach ki mindset kaisi honi chahiye ?	1	742279447	08:30	17	1
64	10	1	1	Reframing (punah nirmaan)	2			17	1
65	10	1	1	Codes ka importance janiye	3	742279211	08:49	17	1
66	10	1	1	Truth	4			17	1
67	10	2	2	Vision and mission kya hota hai?	1	742279345	04:41	0	1
68	10	2	2	Badhiye apne vision aur mission ki taraf	2	742278976	19:02	17	1
70	10	3	3	Apni Niche pehchane	1	742278683	12:18	17	1
71	10	4	4	Kya hai aap ki Story?	1	742278868	05:56	17	1
72	10	4	4	Aapki Story aap ki pehchan	2	742278490	03:07	0	1
73	10	5	5	Coaches fail kyu hote hai?	1	742279540	05:16	0	1
74	10	6	6	Certificate	1			18	1
75	3	1	1	10-saptah ki yatra mein aapka swagat hai.	1	783936774	06:28	0	1
76	3	1	1	INNER DNA TEST	2			1	1
77	3	1	1	WHEEL OF LIFE ( ACTIVITY )	4	783940562	00:58	3	1
78	3	1	1	WHO ARE YOU ( DEBRIEF )	3	783938671	08:31	0	1
79	3	1	1	WHEEL OF LIFE ( DEBRIEF )	5	783943156	04:48	0	1
80	3	1	1	YOUR INNER DNA	6	783952765	07:12	0	1
81	3	1	1	THE SPEECH ( ACTIVITY )	7	783955150	01:39	0	1
82	3	8	8	Aathave hafte mein aapka swagat!	1	784115708	01:00	0	1
83	3	1	1	DISCOVER YOUR INNER DNA ( ACTIVITY )	9			0	1
85	3	2	2	Incredible you program ke dusre hafte mein aap sabka swagat hai !	1	784092415	05:10	0	1
86	3	2	2	BASELINES EXPRESSION ACTIVITY	2	784094769	02:05	0	1
87	3	2	2	BASELINES NON - EXPRESSION ACTIVITY	3	784095886	01:52	0	1
88	3	2	2	BASELINES EXPRESSION AND NON - EXPRESSION DEBRIEF	4	784097761	03:27	0	1
89	3	2	2	THE CHANGE ACTIVITY	5			0	1
90	3	2	2	THE CHANGE DEBRIEF AND JOURNAL EXERCISE	6	784098398	07:58	0	1
91	3	3	3	Teesare hafte mein aapka swagat hai!	1	784101028	09:21	0	1
93	3	3	3	LETTING GO HOLDING ON ACTIVITY	3			0	1
94	3	3	3	LETTING GO HOLDING ON DEBRIEF	4	784104871	06:21	0	1
96	3	4	4	Aapka CODING (TOOL)	1	784106168	03:34	0	1
97	3	4	4	CODING DEBRIEF	2	742275139	2:20	0	1
98	3	4	4	Aapki kahani (ACTIVITY)	3	784106554	07:22	0	1
99	3	4	4	Aapki kahani (DEBRIEF)	4			0	1
100	3	5	5	Aapka outcomes plus par swagat hai !	1	784107373	10:05	0	1
101	3	5	5	Kaunse outcome ko ahmiyat de? (ACTIVITY)	2			0	1
102	3	3	3	DEFINING MOMENTS	2	784102758	12:11	0	1
103	3	5	5	Apne sabse khas outcome ko chune (ACTIVITY)	4			12	1
104	3	5	5	Apne sabse khas outcome ko chune (DEBRIEF)	5			0	1
105	3	5	5	Journal activity	6			0	1
107	3	6	6	INCRED OUTCOMES	1	784109636	07:04	0	1
108	3	6	6	INCRED OUTCOMES BANAYE (ACTIVITY)	2	784111493	01:53	0	1
109	3	6	6	INCRED OUTCOMES BANAYE (DEBRIEF)	3			0	1
110	3	6	6	CHALLENGES ACTIVITY	4			0	1
111	3	6	6	CHALLENGES DEBRIEF	5			0	1
112	3	6	6	POWER LEAPS (ACTIVITY)	6	784112089	07:27	0	1
113	3	6	6	POWER LEAPS (DEBRIEF)	7	784113072	01:24	0	1
114	3	7	7	Satava hafta, unleash you mein aapka swagat hai.	1	784113183	03:46	0	1
115	3	7	7	Meri pichhli zindagi mein kiye hue faisle (ACTIVITY)	2	784113851	00:51	0	1
116	3	7	7	Meri pichhli zindagi mein kiye hue faisle (DEBRIEF)	3	784114026	01:55	0	1
117	3	7	7	DECISION MAKING WHEEL (ACTIVITY)	4	784114423	02:41	11	1
118	3	7	7	DECISION MAKING WHEEL (DEBRIEF)	5			0	1
119	3	7	7	Ek asali faisla kare (ACTIVITY)	6	784114927	02:28	0	1
120	3	7	7	Ek asali faisla kare (DEBRIEF)	7			0	1
121	3	7	7	Journal activity	8			0	1
123	3	8	8	BUZZ MOMENTS (ACTIVITY)	2	784115904	04:25	0	1
124	3	8	8	BUZZ MOMENTS (DEBRIEF)	3	784116682	00:52	0	1
125	3	8	8	MY MASTERMIND (ACTIVITY)	4	784116896	04:21	0	1
126	3	8	8	MY MASTERMIND (DEBRIEF)	5	784117459	01:58	0	1
127	3	8	8	Journal activity	6			0	1
128	3	9	9	Nauve hafte mein aap sabhi ka swagat hai !	1	784117862	00:51	0	1
129	3	9	9	CRAZY FEARLESS DREAMS & VISION BOARD (ACTIVITY)	2	784118012	01:43	0	1
130	3	9	9	CRAZY FEARLESS DREAMS & VISION BOARD (DEBRIEF)	3	784118334	01:04	0	1
131	3	9	9	JOURNAL ACTIVITY	4	784118636	03:43	0	1
132	3	10	10	Incredible you ke aakhri hafte mein aap sabhi ka swagat hai !	1	784120135	03:19	0	1
133	3	10	10	SUCCESS BLUEPRINT (ACTIVITY)	2	742273250	06:57	0	1
134	3	10	10	SUCCESS BLUEPRINT (DEBRIEF)	3	784120740	02:12	0	1
135	3	10	10	CERTIFICATION	4			18	1
137	9	1	1	THE TRUTH	2	742250953	14:39	0	1
138	9	2	2	WHAT DO YOU EARN?	1	742251142	03:30	13	1
139	9	3	3	HOW MUCH DO YOU SPEND? (PART ONE)	1	742254605	01:33	14	1
140	9	3	3	HOW MUCH DO YOU SPEND? (PART TWO)	2	742573274	02:51	15	1
141	9	4	4	YOUR OWN FINANCIAL BLUEPRINT	1	742254755	04:09	16	1
143	14	33	1	1. THE JOURNEY BEGINS	1	742583117	07:27	0	1
144	14	33	1	2. THE FEARS	2	742583016	14:33	17	1
145	14	34	2	1. THE SECRET TO BECOMING TRULY INCREDIBLE	1	742583211	13:29	17	1
146	14	3	3	1. QUALITY OF YOUR STATE = QUALITY OF YOUR LIFE	1	742583358	13:59	0	1
147	14	3	4	1. POSSIBILITIES	1	742583441	10:36	17	1
148	1	2	2	LETTING GO AND HOLDING ON (ACTIVITY)	5	742587656	13:53	17	1
149	1	2	2	LETTING GO AND HOLDING ON (DEBRIEF)	6	742587297	22:14	17	1
150	1	2	2	CODING (ACTIVITY AND DEBRIEF)	7	742586689	20:52	8	1
263	6	1	1	THE WELCOME SESSION DEBRIEF & THE INNER DNA TEST DEBRIEF	2	742213518	16:51	17	1
264	6	1	1	THE WHEEL OF LIFE	3			3	1
265	6	1	1	WHEEL OF LIFE DEBRIEF	4	742213653	29:08	17	1
266	6	1	1	THE SPEECH	6			17	1
267	6	1	1	THE SPEECH DEBRIEF	7	742213817	13:00	17	1
268	6	1	1	DISCOVER YOUR BASELINES	8			4	1
269	6	1	1	DISCOVER YOUR BASELINES DEBRIEF	9	742213932	30:17	17	1
270	6	1	1	BASELINES EXPRESSION	10	742214131	39:35	17	1
271	6	1	1	BASELINES EXPRESSION DEBRIEF	11	742214448	24:30	17	1
272	6	1	1	BASELINES NON-EXPRESSION ACTIVITY	12	742214697	22:05	17	1
273	6	1	1	THE CHANGE	14	742214926	20:18	17	1
274	6	2	2	INTRODUCTION TO INTEGRATED POWER CODING	1	742220280	02:57	17	1
275	6	2	2	THE N - CODES AND THE E - CODES	2	742220146	18:44	17	1
276	6	2	2	LETTING GO AND HOLDING ON	3	742219926	23:58	17	1
277	6	2	2	LETTING GO AND HOLDING ON DEBRIEF (PART 1)	4	742226242	24:32	17	1
278	6	2	2	LETTING GO AND HOLDING ON DEBRIEF (PART 2)	5	742226449	45:55	17	1
279	6	2	2	LETTING GO AND HOLDING ON (LET'S SUM IT UP)	6	742226706	14:52	17	1
280	6	2	2	THE CODING	7	742226827	05:17	8	1
281	6	2	2	THE CODING DEBRIEF	8	742226913	33:36	17	1
282	6	2	2	Your new E-codes	9	742227453	12:20	17	1
283	6	2	2	YOUR E - CODES DEBRIEF	10	742227098	12:49	17	1
284	6	2	2	THE STORIES	11	742227205	02:40	17	1
285	6	2	2	THE STORIES DEBRIEF	12	742227273	22:38	17	1
286	6	3	3	OUTCOMES	1	742228218	27:27	17	1
287	6	3	3	MY OUTCOMES	2	742228618	21:55	17	1
288	6	3	3	DEFINE MY OUTCOME	3			12	1
289	6	3	3	INCRED OUTCOMES	4	742227964	14:55	17	1
290	6	3	3	INCRED PROCESS DEBRIEF	5	742227583	22:21	17	1
291	6	3	3	CHALLENGES, POWER LEAPS	6	742228974	56:06	17	1
292	6	4	4	INTRODUCTION TO DECISION MAKING	1	742230535	08:14	17	1
293	6	4	4	UNLEASH YOU	2	742230258	16:24	17	1
294	6	4	4	MY PAST DECISIONS DEBRIEF & DECISION MAKING WHEEL	3	742230088	08:00	17	1
295	6	4	4	MAKE THE REAL DECISION	4	742230701	21:06	17	1
296	6	4	4	THE BUZZ MOMENTS	5	742231611	36:04	17	1
297	6	4	4	THE MASTERMIND CIRCLE	6	742230883	49:19	17	1
298	6	4	4	THE SUMMARY	7	742573605	14:28	17	1
299	6	5	5	THE SUCCESS BLUEPRINT	1	742232746	11:19	17	1
300	6	5	5	CRAZY DREAMS	2	742232166	04:51	0	1
301	6	5	5	THE VISION BOARD	3	742232512	10:36	17	1
302	6	5	5	THE VISION BOARD DEBRIEF	4	742232614	17:37	17	1
303	6	5	5	CRAFTING YOUR SUCCESS BLUEPRINT	5	742232432	06:29	17	1
304	6	5	5	THE BEGINNING OF THE JOURNEY	6	742232244	21:18	17	1
305	7	0	0	INNER DNA TEST	1			2	1
306	7	0	0	LET THE JOURNEY BEGIN	2	742682582	17:18	0	1
307	7	0	0	WHEN DOES MY TRAINING BEGIN?	3		NULL	21	1
308	7	79	1	THE DEFINING SITUATIONS	1		NULL	17	1
309	7	79	1	THE POWERFUL COACH CODES	3		NULL	17	1
310	7	79	1	THE REFRAMING	2		NULL	17	1
311	7	79	1	THE TRUTH	4		NULL	17	1
312	7	80	2	CRAFTING YOUR VISION AND MISSION	1		NULL	17	1
313	7	81	3	THE NICHE ACTIVITY	1		NULL	17	1
314	7	82	4	BUILD YOUR STORY	1		NULL	17	1
315	4	0	0	Aap kaun hai? - personality assessment	1			0	1
316	4	1	1	Naye safar ki shuruaat	1	743354446	06:30	0	1
317	4	1	1	Zindagi ka maksad	2	743354276	29:39	17	1
318	4	2	2	Aapke aur aapke maksad ke bich ki rukawat	1	743354385	21:43	17	1
319	4	2	2	Aapki mushkil ka aapki zindagi par asar	2	743354200	17:48	17	1
320	4	3	3	Khushiyo se bhari zindagi	1	743354046	43:51	17	1
321	4	3	3	Ek kadam, incredible insaan banne ki taraf	2			0	1
322	5	0	0	INNER DNA TEST	1			1	1
323	5	1	1	WHAT ARE POWERLEAPS AND HOW TO GENERATE 12 WEEKS MASTERMIND STRUCTURE?	1	742263102	15:26	0	1
324	5	1	1	SELECT YOUR NICHE	2		NULL	0	1
325	5	1	1	SELECT YOUR NICHE MASTERMIND	3		NULL	0	1
326	5	88	1	YOUR MASTERMIND OVERVIEW	4		NULL	0	1
327	5	1	1	YOUR 12 WEEK MASTERMINDS CRAFTED!	5		NULL	0	1
328	5	2	2	INTRODUCTION AND ROADBLOCKS	1	742263752	20:12	0	1
329	5	2	2	DEMO OF INTRODUCTION & ROADBLOCKS	2	742263659	20:18	0	1
330	5	90	3	THE BRAINX SESSION	1	742263599	09:31	0	1
331	5	90	3	DEMO OF BRAIN X - ACTION & ACCOUNTABILITY	2	742263522	18:31	0	1
332	5	90	3	WHAT IS HOT SEAT? HOW TO LEARN NEW THINGS FROM EXTERNAL GUESTS?	3	742263467	10:54	0	1
333	5	4	4	HOW TO SET THE PRICING OF YOUR MASTERMIND?	1	742263389	25:22	0	1
334	5	91	4	TAKE YOUR JOURNEY TO THE NEXT LEVEL	2	742263298	11:16	17	1
335	5	92	5	HOW TO MARKET YOUR MASTERMIND?	1	742263210	12:06	17	1
336	1	5	5	CRAZY DREAMS (ACTIVITY)	3	742592916	05:20	0	1
337	3	1	1	THE SPEECH ( DEBRIEF )	8	783963629	06:31	0	1
338	3	5	5	Kaunse outcome ko ahmiyat de?(DEBRIEF)	3	784108285	04:41	0	1
345	20	1	1	10-saptah ki yatra mein aapka swagat hai.	1	742273154	7:52	0	1
346	20	1	1	INNER DNA TEST	2			1	1
347	20	1	1	WHEEL OF LIFE ( ACTIVITY )	4			0	1
348	20	1	1	WHO ARE YOU ( DEBRIEF )	3	742275914	12:17	0	1
349	20	1	1	WHEEL OF LIFE ( DEBRIEF )	5	742276142	8:32	0	1
350	20	1	1	YOUR INNER DNA	6	742276041	12:43	0	1
351	20	1	1	THE SPEECH ( ACTIVITY )	7	742276252	5:45	0	1
352	20	8	8	Aathave hafte mein aapka swagat!	1			0	1
353	20	1	1	DISCOVER YOUR INNER DNA ( ACTIVITY )	9			0	1
354	20	2	2	Incredible you program ke dusre hafte mein aap sabka swagat hai !	1	742275686	7:52	0	1
355	20	2	2	BASELINES EXPRESSION ACTIVITY	2			0	1
356	20	2	2	BASELINES NON - EXPRESSION ACTIVITY	3	742275860	1:37	0	1
357	20	2	2	BASELINES EXPRESSION AND NON - EXPRESSION DEBRIEF	4	742275776	4:10	0	1
358	20	2	2	THE CHANGE ACTIVITY	5			0	1
359	20	2	2	THE CHANGE DEBRIEF AND JOURNAL EXERCISE	6	742275614	5:10	0	1
360	20	3	3	Teesare hafte mein aapka swagat hai!	1	742275542	8:03	0	1
361	20	3	3	LETTING GO HOLDING ON ACTIVITY	3			0	1
362	20	3	3	LETTING GO HOLDING ON DEBRIEF	4	742275305	11:19	0	1
363	20	4	4	Aapka CODING (TOOL)	1	742275205	5:48	0	1
364	20	4	4	CODING DEBRIEF	2	742275139	2:20	0	1
365	20	4	4	Aapki kahani (ACTIVITY)	3	742275044	7:38	0	1
